LEVEL:0
	FORMATION
		SKELETON:FLAG_WEAK|FLAG_SLOW|FLAG_HPDOWN
		SKELETON:FLAG_WEAK|FLAG_SLOW|FLAG_HPDOWN
		SKELETON:FLAG_WEAK|FLAG_SLOW|FLAG_HPDOWN
		SKELETON:FLAG_WEAK|FLAG_SLOW|FLAG_HPDOWN
	FORMATION
		SKELETON:FLAG_WEAK|FLAG_SLOW|FLAG_HPDOWN
		SKELETON:FLAG_WEAK|FLAG_SLOW|FLAG_HPDOWN
		SKELETON:FLAG_WEAK|FLAG_SLOW|FLAG_HPDOWN
		SKELETON:FLAG_WEAK|FLAG_SLOW|FLAG_HPDOWN
		SKELETON:FLAG_WEAK|FLAG_SLOW|FLAG_HPDOWN
		SKELETON:FLAG_WEAK|FLAG_SLOW|FLAG_HPDOWN
	FORMATION
		SKELETON:FLAG_WEAK|FLAG_SLOW|FLAG_HPDOWN
		SKELETON:FLAG_WEAK|FLAG_SLOW|FLAG_HPDOWN
		SKELETON:FLAG_WEAK|FLAG_SLOW|FLAG_HPDOWN
		SKELETON:FLAG_WEAK|FLAG_SLOW|FLAG_HPDOWN
LEVEL:1
	FORMATION
		SKELETON:FLAG_WEAK|FLAG_SLOW|FLAG_HPDOWN
		SKELETON
		SKELETON
		SKELETON
		SKELETONARCHER:FLAG_WEAK|FLAG_SLOW|FLAG_HPDOWN
	FORMATION
		SKELETON:FLAG_WEAK|FLAG_SLOW|FLAG_HPDOWN
		SKELETON:FLAG_WEAK|FLAG_SLOW|FLAG_HPDOWN
		SKELETON
		SKELETON
		SKELETON
	FORMATION
		SKELETONARCHER:FLAG_WEAK|FLAG_SLOW|FLAG_HPDOWN
		SKELETONARCHER:FLAG_WEAK|FLAG_SLOW|FLAG_HPDOWN
		SKELETON
		SKELETON
	FORMATION
		SKELETON:FLAG_WEAK|FLAG_SLOW|FLAG_HPDOWN
		SKELETON:FLAG_WEAK|FLAG_SLOW|FLAG_HPDOWN
		SKELETON:FLAG_WEAK|FLAG_SLOW|FLAG_HPDOWN
		SKELETON
		SKELETON
		SKELETON
	FORMATION
		SKELETON:FLAG_WEAK|FLAG_SLOW|FLAG_HPDOWN
		SKELETON:FLAG_WEAK|FLAG_SLOW|FLAG_HPDOWN
		SKELETON
		SKELETON
LEVEL:2
	FORMATION
		SKELETON:FLAG_HELMET
		SKELETON:FLAG_HELMET
		SKELETON
		SKELETON
		SKELETON
		SKELETONARCHER
		SKELETONARCHER:FLAG_HOODED
	FORMATION
		SKELETON:FLAG_HELMET
		SKELETON:FLAG_HELMET
		SKELETON
		SKELETON
		SKELETON
		SKELETONARCHER
		SKELETONARCHER:FLAG_LEADING
	FORMATION
		SKELETON
		SKELETON
		SKELETON
		IMP
		IMP
		IMP
	FORMATION:
		IMP
		IMP
		SKELETONARCHER
		SKELETONARCHER
		SKELETONARCHER
		SKELETONARCHER
		SKELETONARCHER
	FORMATION
		IMP
		IMP
		IMP
		IMP
		SKELETON:FLAG_HELMET
		SKELETON:FLAG_HELMET
